Canton (-) / District (>>) / Commune (......);Nationalit? - Total;Suisse;Albanie;Allemagne;France;Royaume-Uni;Italie;Autriche;Portugal;Espagne;Turquie;Kosovo
Suisse;8237666;6239207;1488;298027;116896;41577;306414;40291;262748;79610;70051;99799
- Z?rich;1446354;1073065;244;85902;7357;9062;51447;12126;27199;13078;13764;17340
>> Bezirk Affoltern;50591;41720;2;2498;94;293;1227;254;254;246;112;499
......0001 Aeugst am Albis;1959;1699;0;90;9;23;17;7;3;19;2;6
......0002 Affoltern am Albis;11552;8463;1;558;11;42;534;65;108;85;44;300
......0003 Bonstetten;5287;4541;0;273;12;20;104;19;7;13;9;10
......0004 Hausen am Albis;3467;2994;0;178;9;30;29;21;23;6;7;11
......0005 Hedingen;3651;3111;0;164;5;15;83;10;9;13;12;49
......0006 Kappel am Albis;1014;877;0;45;4;35;3;5;3;1;5;0
......0007 Knonau;2037;1706;0;118;3;15;32;8;32;4;9;5
......0008 Maschwanden;665;572;0;45;6;1;14;1;0;5;0;5
......0009 Mettmenstetten;4473;3843;0;208;10;23;86;22;22;20;4;8
......0010 Obfelden;4927;3994;0;224;4;10;165;24;9;24;13;75
......0011 Ottenbach;2548;2273;1;84;1;8;34;12;10;10;0;17
......0012 Rifferswil;999;922;0;41;0;10;2;6;3;1;1;0
......0013 Stallikon;3297;2680;0;261;13;22;47;27;10;22;5;5
......0014 Wettswil am Albis;4715;4045;0;209;7;39;77;27;15;23;1;8
>> Bezirk Andelfingen;30654;26749;0;1551;44;108;444;127;266;84;45;143
......0021 Adlikon;608;560;0;19;0;4;4;4;0;1;0;0
......0022 Benken (ZH);833;738;0;32;1;5;7;4;12;4;8;1
......0023 Berg am Irchel;579;528;0;25;0;2;1;3;0;2;0;2
......0024 Buch am Irchel;927;854;0;35;0;3;7;6;0;2;1;0
......0025 Dachsen;2008;1706;0;119;3;18;43;13;10;12;1;6
......0026 Dorf;646;594;0;29;0;1;2;2;5;0;0;0
......0027 Feuerthalen;3498;2674;0;263;9;6;150;19;28;28;11;60
......0028 Flaach;1363;1175;0;84;0;1;14;1;8;3;3;5
......0029 Flurlingen;1426;1201;0;90;4;16;36;8;4;3;1;6
......0030 Andelfingen;2153;1880;0;79;4;8;38;5;49;3;9;7
......0031 Henggart;2275;2056;0;94;5;2;35;12;9;4;0;2
......0032 Humlikon;498;470;0;17;1;0;1;4;0;0;0;0
......0033 Kleinandelfingen;2062;1807;0;77;0;0;29;8;82;2;3;1
......0034 Laufen-Uhwiesen;1632;1439;0;98;2;24;13;6;0;4;0;0
......0035 Marthalen;1990;1775;0;98;6;4;13;3;21;0;6;18
......0036 Oberstammheim;1153;1064;0;52;1;2;3;1;5;2;1;0
......0037 Ossingen;1391;1274;0;51;0;2;13;1;0;0;0;12
......0038 Rheinau;1315;1046;0;161;7;1;9;12;2;3;1;3
......0039 Thalheim an der Thur;915;823;0;29;0;4;12;3;6;3;0;0
......0040 Tr?llikon;1011;920;0;29;0;1;6;4;0;5;0;0
......0041 Truttikon;463;440;0;5;0;3;3;2;0;1;0;0
......0042 Unterstammheim;894;795;0;29;0;0;2;2;15;1;0;18
......0043 Volken;339;304;0;24;0;1;1;0;4;0;0;2
......0044 Waltalingen;675;626;0;12;1;0;2;4;6;1;0;0
>> Bezirk B?lach;141242;103057;34;7657;475;579;5361;1014;2948;1140;1836;2679
......0051 Bachenb?lach;4079;3081;0;211;5;10;185;27;80;18;61;70
......0052 Bassersdorf;11404;8721;0;500;31;46;492;88;153;77;119;199
......0053 B?lach;18895;14061;5;1090;43;36;825;97;221;147;284;431
......0054 Dietlikon;7578;5767;0;318;40;24;293;67;202;45;53;146
......0055 Eglisau;4966;3861;0;412;13;25;138;35;72;18;16;98
......0056 Embrach;9114;6761;3;489;18;26;285;98;176;70;179;169
......0057 Freienstein-Teufen;2310;2001;1;108;2;4;51;12;38;8;2;14
......0058 Glattfelden;4838;3717;0;335;11;15;175;27;99;33;58;69
......0059 Hochfelden;2024;1721;2;83;9;1;40;13;17;6;0;29
......0060 H?ri;2663;1818;1;96;1;5;205;6;117;23;33;81
......0061 H?ntwangen;1015;908;0;59;0;1;7;3;0;3;0;0
......0062 Kloten;18373;12617;4;956;60;81;736;170;412;198;284;356
......0063 Lufingen;1915;1579;0;92;2;7;55;12;36;11;7;9
......0064 N?rensdorf;5385;4543;1;218;18;14;147;43;20;14;40;33
......0065 Oberembrach;1092;962;0;37;2;6;16;5;9;3;0;7
......0066 Opfikon;17173;9533;11;1029;70;119;875;125;617;276;470;624
......0067 Rafz;4243;3422;0;349;5;12;83;17;41;25;15;33
......0068 Rorbas;2705;1977;0;168;14;7;88;21;84;12;19;57
......0069 Wallisellen;15373;10703;6;851;124;119;582;118;501;142;178;242
......0070 Wasterkingen;568;500;0;30;2;3;5;0;0;2;0;0
......0071 Wil (ZH);1357;1216;0;90;0;0;13;4;1;2;4;0
......0072 Winkel;4172;3588;0;136;5;18;65;26;52;7;14;12
>> Bezirk Dielsdorf;85790;62967;12;4189;170;251;3643;570;2530;676;1041;1628
......0081 Bachs;598;542;0;25;1;1;1;2;1;0;4;0
......0082 Boppelsen;1284;1134;1;56;5;2;5;7;38;5;0;0
......0083 Buchs (ZH);6172;4691;1;268;15;8;231;23;204;38;79;91
......0084 D?llikon;3904;2787;0;145;14;10;160;17;222;21;136;58
......0085 D?nikon;1947;1403;0;87;3;1;64;12;140;15;48;36
......0086 Dielsdorf;5917;4193;3;372;19;12;264;41;145;54;45;124
......0087 H?ttikon;703;602;0;18;3;3;20;3;21;1;1;2
......0088 Neerach;3008;2633;0;133;6;17;54;33;9;7;9;5
......0089 Niederglatt;4721;3478;2;204;9;15;256;24;83;42;40;102
......0090 Niederhasli;9044;6749;1;344;4;21;520;53;176;81;102;153
......0091 Niederweningen;2877;2402;0;167;2;17;44;29;11;14;9;34
......0092 Oberglatt;6639;4261;0;380;14;27;385;50;246;93;72;254
......0093 Oberweningen;1826;1438;0;130;5;14;42;13;21;11;10;3
......0094 Otelfingen;2800;2223;0;129;10;16;89;16;88;17;42;11
......0095 Regensberg;489;400;0;44;2;5;2;3;8;2;0;0
......0096 Regensdorf;17478;11535;1;928;25;33;941;150;696;153;312;510
......0097 R?mlang;7553;5261;2;287;22;13;391;58;289;83;109;163
......0098 Schleinikon;730;666;0;23;1;4;10;2;3;0;0;0
......0099 Sch?fflisdorf;1389;1163;0;58;1;5;29;10;26;7;9;0
......0100 Stadel;2160;1894;0;86;2;12;26;6;21;7;0;20
......0101 Steinmaur;3393;2578;1;222;5;6;67;16;82;25;13;45
......0102 Weiach;1158;934;0;83;2;9;42;2;0;0;1;17
>> Bezirk Hinwil;92462;74692;14;3444;108;162;3298;594;1971;444;849;1519
......0111 B?retswil;4993;4479;0;199;6;8;74;22;29;4;5;35
......0112 Bubikon;6974;6231;0;223;8;11;126;37;53;17;24;18
......0113 D?rnten;7403;6092;0;260;15;15;194;76;89;17;54;145
......0114 Fischenthal;2323;2041;0;110;3;4;25;9;25;4;2;2
......0115 Gossau (ZH);9773;8411;0;327;10;25;234;50;209;31;13;56
......0116 Gr?ningen;3373;2935;0;132;9;8;80;24;34;8;4;7
......0117 Hinwil;10799;9033;1;361;17;22;289;55;187;34;66;188
