"nationality","value"
"Switzerland",6278459
"Albania",1590
"Andorra",27
"Belgium",12927
"Bulgaria",6443
"Denmark",4897
"Germany",300691
"Finland",3810
"France",122970
"Greece",11453
"United Kingdom",41766
"Ireland",4074
"Iceland",420
"Italy",311742
"Liechtenstein",1710
"Luxembourg",1464
"Malta",203
"Monaco",24
"Netherlands",20664
"Norway",1931
"Austria",41145
"Poland",24872
"Portugal",267474
"Romania",12235
"San Marino",17
"Sweden",7965
"Spain",82334
"Turkey",69215
"Hungary",17525
"Vatican City",2
"Cyprus",411
"Slovakia",13657
"Czech Republic",7510
"Serbia",71260
"Croatia",29355
"Slovenia",5286
"Bosnia and Herzegovina",31905
"Montenegro",2536
"Macedonia",64448
"Kosovo",106879
"Estonia",765
"Latvia",2092
"Lithuania",1827
"Moldova",701
"Russia",15420
"Ukraine",6423
"Belarus",1190
"Equatorial Guinea",21
"Ethiopia",3326
"Djibouti",32
"Algeria",4093
"Angola",3703
"Botswana",51
"Burundi",278
"Benin",367
"Côte d'Ivoire",1790
"Gabon",133
"Gambia",594
"Ghana",1463
"Guinea-Bissau",149
"Guinea",908
"Cameroon",4462
"Cape Verde",1011
"Kenya",1660
"Comoros",20
"Congo (Brazzaville)",732
"Congo (Kinshasa)",5890
"Lesotho",23
"Liberia",151
"Libya",843
"Madagascar",630
"Malawi",83
"Mali",273
"Morocco",7573
"Mauritania",61
"Mauritius",917
"Mozambique",118
"Niger",120
"Nigeria",2453
"Burkina Faso",421
"Zimbabwe",331
"Rwanda",468
"Zambia",125
"São Tomé and Príncipe",14
"Senegal",1509
"Seychelles",58
"Sierra Leone",204
"Somalia",6907
"South Africa",1853
"Sudan",690
"Namibia",67
"Swaziland",28
"Tanzania",317
"Togo",1504
"Chad",130
"Tunisia",7488
"Uganda",367
"Egypt",2454
"Central African Republic",50
"Eritrea",24860
"South Sudan",33
"Western Sahara",8
"Argentina",1769
"Bahamas",27
"Barbados",38
"Bolivia",1933
"Brazil",19751
"Chile",3401
"Costa Rica",392
"Dominican Republic",5909
"Ecuador",2731
"El Salvador",239
"Guatemala",266
"Guyana",19
"Haiti",486
"Belize",12
"Honduras",249
"Jamaica",363
"Canada",7014
"Colombia",4472
"Cuba",1732
"Mexico",3000
"Nicaragua",267
"Panama",164
"Paraguay",442
"Peru",2898
"Suriname",8
"Trinidad and Tobago",106
"Uruguay",370
"Venezuela",1238
"United States",19257
"Dominica",144
"Grenada",4
"Antigua and Barbuda",13
"Saint Lucia",21
"Saint Vincent and the Grenadines",5
"Saint Kitts and Nevis",33
"Afghanistan",6957
"Bahrain",53
"Bhutan",53
"Brunei",22
"Myanmar",192
"Sri Lanka",27667
"Taiwan (Chinese Taipei)",899
"China",17083
"India",13589
"Indonesia",1839
"Iraq",7092
"Iran",4593
"Israel",1434
"Japan",5580
"Yemen",563
"Jordan",571
"Cambodia",852
"Qatar",74
"Kuwait",124
"Laos",296
"Lebanon",2275
"Malaysia",1374
"Maldives",45
"Oman",61
"Mongolia",770
"Nepal",507
"North Korea",88
"United Arab Emirates",76
"Pakistan",3027
"Philippines",5477
"Saudi Arabia",687
"Singapore",778
"South Korea",2172
"Syria",10643
"Thailand",9058
"Vietnam",4409
"Bangladesh",1766
"Timor-Leste",8
"Palestine",213
"Armenia",703
"Azerbaijan",621
"Georgia",631
"Kazakhstan",976
"Kyrgyzstan",241
"Tajikistan",91
"Turkmenistan",54
"Uzbekistan",505
"Australia",3287
"Fiji",43
"Nauru",0
"Vanuatu",1
"New Zealand",852
"Papua New Guinea",17
"Tonga",7
"Samoa",7
"Solomon Islands",10
"Tuvalu",0
"Kiribati",1
"Marshall Islands",1
"Micronesia",0
"Palau",4
"Stateless",339
"Not attributable according to current borders",0
"No indication",1467
