"location","BFS_NUMMER","population","foreigners","pcForeigners","Italie","Allemagne","Portugal","France","Kosovo","Espagne","Autres"
"Aadorf",4551,8794,1405,0.16,0.232,0.238,0.047,0.006,0.048,0.009,0.42
"Aarau",4001,20710,4142,0.2,0.125,0.199,0.033,0.009,0.088,0.036,0.511
"Aarberg",301,4529,528,0.117,0.093,0.17,0.125,0.008,0.049,0.025,0.53
"Aarburg",4271,7723,3369,0.436,0.171,0.101,0.103,0.004,0.113,0.025,0.482
"Aarwangen",321,4408,649,0.147,0.129,0.157,0.04,0.014,0.153,0.025,0.482
"Abtwil",4221,970,122,0.126,0.098,0.574,0.008,0,0.057,0.033,0.23
"Aclens",5621,525,143,0.272,0.175,0.014,0.147,0.273,0.028,0.077,0.287
"Acquarossa",5048,1856,220,0.119,0.518,0.018,0.264,0.009,0.05,0.009,0.132
"Adelboden",561,3437,227,0.066,0.044,0.295,0.229,0.013,0,0.004,0.414
"Adligenswil",1051,5348,551,0.103,0.038,0.358,0.045,0.027,0.029,0.04,0.463
"Adlikon",21,662,60,0.091,0.067,0.433,0.05,0,0,0.017,0.433
"Adliswil",131,18605,6442,0.346,0.136,0.204,0.078,0.019,0.028,0.029,0.507
"Aedermannsdorf",2421,549,24,0.044,0,0.833,0,0,0,0,0.167
"Aefligen",401,1067,73,0.068,0.123,0.315,0.123,0.041,0.014,0.014,0.37
"Aegerten",731,1874,313,0.167,0.141,0.077,0.102,0.026,0.134,0.029,0.492
"Aesch (BL)",2761,10173,2402,0.236,0.29,0.151,0.017,0.011,0.047,0.018,0.466
"Aesch (LU)",1021,1088,103,0.095,0.029,0.553,0.019,0.01,0.078,0,0.311
"Aesch (ZH)",241,1197,181,0.151,0.05,0.47,0.017,0.039,0,0.039,0.387
"Aeschi (SO)",2511,1216,65,0.053,0.077,0.554,0.077,0,0,0.031,0.262
"Aeschi bei Spiez",562,2217,146,0.066,0.014,0.37,0.103,0,0.048,0.014,0.452
"Aeugst am Albis",1,1981,253,0.128,0.063,0.352,0.016,0.036,0.028,0.079,0.427
"Affeltrangen",4711,2495,393,0.158,0.115,0.221,0.094,0.003,0.025,0.005,0.537
"Affoltern am Albis",2,11708,3167,0.27,0.172,0.181,0.038,0.004,0.096,0.026,0.483
"Affoltern im Emmental",951,1159,47,0.041,0.021,0.532,0,0.043,0,0.021,0.383
"Agarn",6101,780,66,0.085,0.091,0.152,0.394,0,0.091,0,0.273
"Agiez",5742,310,53,0.171,0.113,0,0.377,0.208,0,0.094,0.208
"Agno",5141,4467,1523,0.341,0.664,0.03,0.114,0.005,0.014,0.016,0.157
"Aigle",5401,9942,3990,0.401,0.093,0.005,0.333,0.079,0.125,0.053,0.312
"Aire-la-Ville",6601,1160,218,0.188,0.11,0.041,0.073,0.234,0.009,0.092,0.44
"Airolo",5061,1576,404,0.256,0.5,0.005,0.317,0.005,0.007,0.017,0.149
"Alberswil",1121,656,86,0.131,0.035,0.198,0.058,0,0.174,0.023,0.512
"Albinen",6102,243,25,0.103,0,0.48,0,0.24,0,0,0.28
"Albula/Alvra",3542,1331,184,0.138,0.076,0.315,0.408,0,0,0,0.201
"Alchenstorf",402,602,30,0.05,0.033,0.667,0,0,0,0.033,0.267
"Allaman",5851,395,111,0.281,0.153,0,0.297,0.162,0.045,0.09,0.252
"Alle",6771,1765,191,0.108,0.346,0.005,0.162,0.215,0.047,0.021,0.204
"Allmendingen",630,545,43,0.079,0.07,0.442,0.047,0,0,0,0.442
"Allschwil",2762,20464,5302,0.259,0.155,0.237,0.031,0.028,0.016,0.058,0.474
"Alpnach",1401,5908,916,0.155,0.069,0.204,0.21,0.009,0.058,0.013,0.438
"Alpthal",1361,597,53,0.089,0,0.604,0,0,0,0,0.396
"Altbüron",1122,986,75,0.076,0.013,0.507,0.067,0.04,0.08,0,0.293
"Altdorf (UR)",1201,9203,1316,0.143,0.142,0.18,0.111,0.002,0.016,0.011,0.537
"Altendorf",1341,6744,1398,0.207,0.096,0.293,0.057,0.017,0.024,0.025,0.487
"Alterswil",2291,2047,129,0.063,0.023,0.256,0.031,0.039,0.295,0.008,0.349
"Altikon",211,655,54,0.082,0.111,0.574,0,0,0,0.019,0.296
"Altishofen",1123,1555,270,0.174,0.022,0.078,0.33,0.011,0.111,0.022,0.426
"Altnau",4641,2149,413,0.192,0.128,0.625,0.012,0.005,0.005,0.031,0.194
"Alto Malcantone",5237,1421,120,0.084,0.583,0.067,0.075,0.017,0,0.008,0.25
"Altstätten",3251,11358,2990,0.263,0.072,0.229,0.017,0.002,0.06,0.004,0.616
"Altwis",1022,416,53,0.127,0.019,0.208,0,0,0,0.019,0.755
"Amden",3311,1773,193,0.109,0.047,0.544,0.026,0.005,0,0.036,0.342
"Amlikon-Bissegg",4881,1323,135,0.102,0.037,0.489,0.03,0,0.022,0.022,0.4
"Ammerswil",4191,682,78,0.114,0.141,0.513,0.064,0.013,0.026,0.038,0.205
"Amriswil",4461,13113,4029,0.307,0.151,0.12,0.095,0.002,0.069,0.021,0.542
"Amsoldingen",921,809,26,0.032,0.077,0.269,0,0,0.385,0,0.269
"Andeer",3701,958,153,0.16,0.078,0.196,0.346,0,0,0,0.379
