"location","BFS_NUMMER","canton","population","foreigners","pcForeigners","deltaForeigners"
"Aadorf",4551,"Thurgau",8865,1415,0.16,0.018
"Aarau",4001,"Aargau",21036,4493,0.214,0.019
"Aarberg",301,"Bern / Berne",4527,543,0.12,0.012
"Aarburg",4271,"Aargau",7854,3452,0.44,0.041
"Aarwangen",321,"Bern / Berne",4518,754,0.167,0.044
"Abtwil",4221,"Aargau",997,128,0.128,0.024
"Aclens",5621,"Vaud",521,137,0.263,0.054
"Acquarossa",5048,"Ticino",1850,224,0.121,0.011
"Adelboden",561,"Bern / Berne",3370,234,0.069,0
"Adligenswil",1051,"Luzern",5352,565,0.106,0.00699999999999999
"Adlikon",21,"Zürich",666,65,0.098,0.06
"Adliswil",131,"Zürich",18742,6676,0.356,0.064
"Aedermannsdorf",2421,"Solothurn",556,31,0.056,0.033
"Aefligen",401,"Bern / Berne",1089,76,0.07,0.021
"Aegerten",731,"Bern / Berne",2011,341,0.17,0.032
"Aesch (BL)",2761,"Basel-Landschaft",10184,2464,0.242,0.015
"Aesch (LU)",1021,"Luzern",1141,119,0.104,0.012
"Aesch (ZH)",241,"Zürich",1275,205,0.161,0.056
"Aeschi (SO)",2511,"Solothurn",1213,87,0.072,0.031
"Aeschi bei Spiez",562,"Bern / Berne",2232,161,0.072,0.023
"Aeugst am Albis",1,"Zürich",1977,259,0.131,0.00800000000000001
"Affeltrangen",4711,"Thurgau",2520,385,0.153,0.03
"Affoltern am Albis",2,"Zürich",11900,3314,0.278,0.023
"Affoltern im Emmental",951,"Bern / Berne",1133,43,0.038,-0.004
"Agarn",6101,"Valais / Wallis",764,77,0.101,0.015
"Agiez",5742,"Vaud",291,43,0.148,0.018
"Agno",5141,"Ticino",4518,1529,0.338,0.028
"Aigle",5401,"Vaud",9961,4022,0.404,0.024
"Aire-la-Ville",6601,"Genève",1163,213,0.183,-0.012
"Airolo",5061,"Ticino",1526,387,0.254,0.039
"Alberswil",1121,"Luzern",648,78,0.12,-0.00900000000000001
"Albinen",6102,"Valais / Wallis",241,29,0.12,0.034
"Albula/Alvra",3542,"Graubünden / Grigioni / Grischun",1331,190,0.143,0.039
"Alchenstorf",402,"Bern / Berne",589,31,0.053,0.016
"Allaman",5851,"Vaud",435,134,0.308,0.066
"Alle",6771,"Jura",1817,193,0.106,0.011
"Allmendingen",630,"Bern / Berne",577,40,0.069,0.001
"Allschwil",2762,"Basel-Landschaft",20695,5417,0.262,0.049
"Alpnach",1401,"Obwalden",5997,950,0.158,0.014
"Alpthal",1361,"Schwyz",612,56,0.092,0.028
"Altbüron",1122,"Luzern",1013,115,0.114,0.032
"Altdorf (UR)",1201,"Uri",9211,1349,0.146,0.00699999999999998
"Altendorf",1341,"Schwyz",6907,1445,0.209,0.036
"Alterswil",2291,"Fribourg / Freiburg",2037,132,0.065,0.026
"Altikon",211,"Zürich",658,55,0.084,0.033
"Altishofen",1123,"Luzern",1548,273,0.176,0.038
"Altnau",4641,"Thurgau",2161,419,0.194,0.013
"Alto Malcantone",5237,"Ticino",1414,120,0.085,0.016
"Altstätten",3251,"St. Gallen",11438,3044,0.266,0.038
"Altwis",1022,"Luzern",411,58,0.141,0.042
"Amden",3311,"St. Gallen",1793,195,0.109,0.023
"Amlikon-Bissegg",4881,"Thurgau",1311,132,0.101,0.031
"Ammerswil",4191,"Aargau",690,88,0.128,0.00800000000000001
"Amriswil",4461,"Thurgau",13346,4194,0.314,0.041
"Amsoldingen",921,"Bern / Berne",802,35,0.044,0.025
"Andeer",3701,"Graubünden / Grigioni / Grischun",948,133,0.14,0.015
"Andelfingen",30,"Zürich",2224,307,0.138,0.002
"Andermatt",1202,"Uri",1355,310,0.229,0.101
"Andiast",3611,"Graubünden / Grigioni / Grischun",204,21,0.103,0.076
"Andwil (SG)",3441,"St. Gallen",1909,142,0.074,-0.001
"Anières",6602,"Genève",2495,842,0.337,0.048
"Anniviers",6252,"Valais / Wallis",2719,573,0.211,0.00700000000000001
"Anwil",2841,"Basel-Landschaft",581,35,0.06,-0.005
"Appenzell",3101,"Appenzell Innerrhoden",5825,1142,0.196,0.023
"Apples",5421,"Vaud",1413,232,0.164,0.021
"Aranno",5143,"Ticino",368,50,0.136,-0.004
"Arbaz",6261,"Valais / Wallis",1219,181,0.148,0.013
"Arbedo-Castione",5001,"Ticino",4944,1414,0.286,-0.003
"Arboldswil",2881,"Basel-Landschaft",561,33,0.059,0.000999999999999994
"Arbon",4401,"Thurgau",14340,4596,0.321,0.031
"Arch",381,"Bern / Berne",1540,103,0.067,-0.013
"Arconciel",2171,"Fribourg / Freiburg",913,109,0.119,0.02
"Ardon",6021,"Valais / Wallis",3076,1043,0.339,0.003
"Arisdorf",2821,"Basel-Landschaft",1657,179,0.108,0.033
"Aristau",4222,"Aargau",1413,224,0.159,0.028
"Arlesheim",2763,"Basel-Landschaft",9287,1933,0.208,0.017
"Arnex-sur-Nyon",5701,"Vaud",223,58,0.26,0.016
"Arnex-sur-Orbe",5743,"Vaud",630,76,0.121,0.01
"Arni (AG)",4061,"Aargau",1868,236,0.126,0.012
"Arni (BE)",602,"Bern / Berne",917,33,0.036,0.00199999999999999
"Arogno",5144,"Ticino",1004,135,0.134,0.004
"Arosa",3921,"Graubünden / Grigioni / Grischun",3219,784,0.244,0.047
"Arth",1362,"Schwyz",11735,3168,0.27,0.029
"Arzier-Le Muids",5702,"Vaud",2629,765,0.291,0.027
"Ascona",5091,"Ticino",5515,1569,0.284,-0.004
"Assens",5511,"Vaud",1058,138,0.13,0.034
"Astano",5146,"Ticino",305,44,0.144,0.024
"Attalens",2321,"Fribourg / Freiburg",3353,560,0.167,0.025
"Attelwil",4272,"Aargau",284,14,0.049,0.036
"Attinghausen",1203,"Uri",1650,109,0.066,0.022
"Attiswil",971,"Bern / Berne",1428,131,0.092,0.022
"Au (SG)",3231,"St. Gallen",7541,2662,0.353,0.014
"Aubonne",5422,"Vaud",3281,1063,0.324,0.047
"Auboranges",2061,"Fribourg / Freiburg",282,32,0.113,0.019
"Auenstein",4091,"Aargau",1584,159,0.1,0.00900000000000001
"Augst",2822,"Basel-Landschaft",1001,212,0.212,0.054
"Ausserberg",6191,"Valais / Wallis",622,43,0.069,0.031
"Auswil",322,"Bern / Berne",450,7,0.016,-0.001
"Autigny",2173,"Fribourg / Freiburg",792,115,0.145,0.052
"Auw",4223,"Aargau",2064,336,0.163,0.03
"Avegno Gordevio",5324,"Ticino",1479,146,0.099,0.014
"Avenches",5451,"Vaud",4166,1504,0.361,0.048
"Avers",3681,"Graubünden / Grigioni / Grischun",168,8,0.048,-0.011
"Avry",2174,"Fribourg / Freiburg",1864,374,0.201,0.049
"Avully",6603,"Genève",1761,338,0.192,0.016
"Avusy",6604,"Genève",1405,160,0.114,-0.019
"Ayent",6082,"Valais / Wallis",3935,521,0.132,0.023
"Baar",1701,"Zug",24129,7060,0.293,0.034
"Bachenbülach",51,"Zürich",4087,1024,0.251,0.021
"Bachs",81,"Zürich",605,81,0.134,0.05
"Bad Ragaz",3291,"St. Gallen",5874,1677,0.285,0.019
"Bad Zurzach",4323,"Aargau",4165,1612,0.387,0.039
"Baden",4021,"Aargau",19222,5238,0.273,0.02
"Bagnes",6031,"Valais / Wallis",8073,2622,0.325,0.035
"Baldingen",4301,"Aargau",275,27,0.098,0.026
"Balerna",5242,"Ticino",3385,861,0.254,0.044
"Balgach",3232,"St. Gallen",4598,1033,0.225,-0.012
"Ballaigues",5744,"Vaud",1114,191,0.171,0.077
"Ballens",5423,"Vaud",509,96,0.189,0.049
"Ballwil",1023,"Luzern",2794,226,0.081,0.024
"Balm bei Günsberg",2541,"Solothurn",203,19,0.094,0.052
"Balsthal",2422,"Solothurn",6099,1973,0.323,0.019
"Baltschieder",6281,"Valais / Wallis",1308,104,0.08,0.00900000000000001
"Bannwil",323,"Bern / Berne",690,63,0.091,0.024
"Barberêche",2243,"Fribourg / Freiburg",544,90,0.165,0.041
"Bardonnex",6605,"Genève",2244,518,0.231,-0.00499999999999998
"Bäretswil",111,"Zürich",5060,572,0.113,0.013
"Bargen (BE)",302,"Bern / Berne",1004,84,0.084,0.005
"Bargen (SH)",2931,"Schaffhausen",302,71,0.235,0.05
"Bäriswil",403,"Bern / Berne",1054,69,0.065,0.005
"Bärschwil",2611,"Solothurn",817,67,0.082,0.026
"Bas-Intyamon",2162,"Fribourg / Freiburg",1324,237,0.179,0.056
"Basadingen-Schlattingen",4536,"Thurgau",1815,293,0.161,0.047
"Basel",2701,"Basel-Stadt",171017,63434,0.371,0.03
"Basse-Allaine",6807,"Jura",1225,97,0.079,0.00899999999999999
"Bassersdorf",52,"Zürich",11616,2816,0.242,0.011
"Bassins",5703,"Vaud",1317,315,0.239,0.015
"Bätterkinden",533,"Bern / Berne",3242,244,0.075,0.016
"Bättwil",2471,"Solothurn",1195,189,0.158,-0.003
"Bauen",1204,"Uri",164,14,0.085,0.003
"Baulmes",5745,"Vaud",1057,183,0.173,0.028
"Bauma",297,"Zürich",4909,798,0.163,0.021
"Bavois",5746,"Vaud",940,168,0.179,0.038
"Beatenberg",571,"Bern / Berne",1208,214,0.177,0.048
"Beckenried",1501,"Nidwalden",3567,426,0.119,0.027
"Bedano",5148,"Ticino",1574,282,0.179,0.002
"Bedigliora",5149,"Ticino",644,90,0.14,0.052
"Bedretto",5063,"Ticino",109,18,0.165,0.056
"Beggingen",2951,"Schaffhausen",476,39,0.082,0.013
"Begnins",5704,"Vaud",1884,544,0.289,0.046
"Beinwil (Freiamt)",4224,"Aargau",1110,116,0.105,0.026
"Beinwil (SO)",2612,"Solothurn",246,15,0.061,0.038
"Beinwil am See",4131,"Aargau",3117,402,0.129,0.036
"Belfaux",2175,"Fribourg / Freiburg",3348,968,0.289,0.083
"Bellach",2542,"Solothurn",5239,1440,0.275,0.012
"Bellevue",6606,"Genève",3348,1248,0.373,-0.016
"Bellikon",4022,"Aargau",1549,163,0.105,0.012
"Bellinzona",5002,"Ticino",18347,5630,0.307,0.014
"Bellmund",732,"Bern / Berne",1619,109,0.067,0.00800000000000001
"Bellwald",6052,"Valais / Wallis",395,60,0.152,-0.013
"Belmont-Broye",2053,"Fribourg / Freiburg",5402,1325,0.245,0.066
"Belmont-sur-Lausanne",5581,"Vaud",3555,861,0.242,-0.00600000000000001
"Belmont-sur-Yverdon",5902,"Vaud",368,54,0.147,0.03
"Belp",861,"Bern / Berne",11534,1556,0.135,0.024
"Belprahon",681,"Bern / Berne",302,17,0.056,0.016
"Benken (SG)",3312,"St. Gallen",2916,313,0.107,-0.005
"Benken (ZH)",22,"Zürich",857,100,0.117,0.013
"Bennwil",2882,"Basel-Landschaft",641,37,0.058,0.015
"Bercher",5512,"Vaud",1157,217,0.188,0.033
"Berg (SG)",3211,"St. Gallen",843,67,0.079,-0.014
"Berg (TG)",4891,"Thurgau",3308,467,0.141,0.025
"Berg am Irchel",23,"Zürich",567,56,0.099,0.032
"Bergdietikon",4023,"Aargau",2751,469,0.17,0.04
"Bergün/Bravuogn",3521,"Graubünden / Grigioni / Grischun",503,114,0.227,0.1
"Berikon",4062,"Aargau",4663,844,0.181,0.037
"Beringen",2932,"Schaffhausen",4656,1023,0.22,0.06
"Berken",972,"Bern / Berne",43,1,0.023,0.003
"Berlingen",4801,"Thurgau",884,218,0.247,0.029
"Bern",351,"Bern / Berne",133115,34226,0.257,0.025
"Berneck",3233,"St. Gallen",3956,762,0.193,0.00900000000000001
"Bernex",6607,"Genève",10045,2197,0.219,0.016
"Berolle",5424,"Vaud",302,41,0.136,-0.00899999999999998
"Beromünster",1081,"Luzern",6517,845,0.13,0.026
"Besenbüren",4226,"Aargau",616,52,0.084,0.032
