"name","id","value"
"Glarus Süd",0,"Région linguistique allemande"
"Lac Léman (VD)",1,"aucune appartenance"
"Guttannen",10,"Région linguistique allemande"
"Savièse",100,"Région linguistique française"
"Cugy (FR)",1000,"Région linguistique française"
"Pohlern",1001,"Région linguistique allemande"
"Erlinsbach (AG)",1002,"Région linguistique allemande"
"Mörschwil",1003,"Région linguistique allemande"
"Rances",1004,"Région linguistique française"
"Herzogenbuchsee",1005,"Région linguistique allemande"
"Le Mont-sur-Lausanne",1006,"Région linguistique française"
"Saint-Martin (FR)",1007,"Région linguistique française"
"Gelterkinden",1008,"Région linguistique allemande"
"Essertines-sur-Yverdon",1009,"Région linguistique française"
"Winterthur",101,"Région linguistique allemande"
"Locarno",1010,"Région linguistique italienne"
"Knutwil",1011,"Région linguistique allemande"
"Attalens",1012,"Région linguistique française"
"Gontenschwil",1013,"Région linguistique allemande"
"Inden",1014,"Région linguistique allemande"
"Mervelier",1015,"Région linguistique française"
"Gachnang",1016,"Région linguistique allemande"
"Bertschikon",1017,"Région linguistique allemande"
"Hirzel",1018,"Région linguistique allemande"
"Ebikon",1019,"Région linguistique allemande"
"Leukerbad",102,"Région linguistique allemande"
"Thunstetten",1020,"Région linguistique allemande"
"Bourg-en-Lavaux",1021,"Région linguistique française"
"Monte Carasso",1022,"Région linguistique italienne"
"Diegten",1023,"Région linguistique allemande"
"Seon",1024,"Région linguistique allemande"
"Thal",1025,"Région linguistique allemande"
"Berolle",1026,"Région linguistique française"
"Gresso",1027,"Région linguistique italienne"
"Weiach",1028,"Région linguistique allemande"
"Enges",1029,"Région linguistique française"
"Binn",103,"Région linguistique allemande"
"Le Flon",1030,"Région linguistique française"
"Trüllikon",1031,"Région linguistique allemande"
"Güttingen",1032,"Région linguistique allemande"
"Losone",1033,"Région linguistique italienne"
"Yens",1035,"Région linguistique française"
"Wölflinswil",1036,"Région linguistique allemande"
"Diesse",1037,"Région linguistique française"
"Crémines",1038,"Région linguistique française"
"Reinach (AG)",1039,"Région linguistique allemande"
"Ormont-Dessous",104,"Région linguistique française"
"Fehraltorf",1040,"Région linguistique allemande"
"Sargans",1041,"Région linguistique allemande"
"Wiesendangen",1042,"Région linguistique allemande"
"Oberstammheim",1043,"Région linguistique allemande"
"Longirod",1044,"Région linguistique française"
"Rain",1045,"Région linguistique allemande"
"Siblingen",1046,"Région linguistique allemande"
"Brislach",1047,"Région linguistique allemande"
