"BFS_NUMMER","location","populationTot","Italie","Allemagne","Portugal","France","Kosovo","Espagne","Serbie","Turquie"
1,"Aeugst am Albis",1977,21,84,3,9,2,15,1,0
2,"Affoltern am Albis",11900,550,563,114,15,311,78,361,46
3,"Bonstetten",5435,101,247,14,11,17,12,2,8
4,"Hausen am Albis",3571,31,171,30,8,6,4,14,7
5,"Hedingen",3687,84,153,11,4,48,16,17,14
6,"Kappel am Albis",1110,16,58,1,5,0,3,0,4
7,"Knonau",2168,45,126,29,2,4,7,3,8
8,"Maschwanden",626,12,32,0,6,0,1,1,0
9,"Mettmenstetten",4861,98,219,24,6,11,18,40,4
10,"Obfelden",5131,155,245,11,5,80,26,91,20
11,"Ottenbach",2591,39,89,11,0,20,9,5,0
12,"Rifferswil",1078,4,58,1,0,0,1,0,1
13,"Stallikon",3646,61,292,13,19,11,19,13,8
14,"Wettswil am Albis",5123,78,265,20,12,19,24,6,2
21,"Adlikon",666,3,24,3,0,0,3,0,0
22,"Benken (ZH)",857,8,43,12,1,1,1,0,6
23,"Berg am Irchel",567,1,25,0,0,2,2,4,0
24,"Buch am Irchel",957,10,45,0,0,0,2,0,2
25,"Dachsen",1998,31,124,5,3,6,14,1,0
26,"Dorf",629,4,28,5,0,0,0,0,1
27,"Feuerthalen",3596,151,266,31,10,60,27,18,12
28,"Flaach",1362,12,70,6,0,1,0,4,4
29,"Flurlingen",1434,36,84,5,3,8,3,5,1
30,"Andelfingen",2224,38,87,56,7,2,5,5,2
31,"Henggart",2242,36,85,1,3,4,4,4,0
32,"Humlikon",496,4,16,0,1,0,0,0,0
33,"Kleinandelfingen",2067,24,80,81,0,4,1,16,1
34,"Laufen-Uhwiesen",1650,13,99,3,0,0,2,1,0
35,"Marthalen",1938,12,95,21,6,17,0,2,5
36,"Oberstammheim",1191,3,46,6,1,0,2,0,1
37,"Ossingen",1456,22,50,0,0,11,1,3,0
38,"Rheinau",1302,9,153,3,7,3,1,8,1
39,"Thalheim an der Thur",919,10,19,6,0,0,3,1,0
40,"Trüllikon",1064,3,30,3,0,0,5,2,8
41,"Truttikon",469,2,7,0,0,0,0,0,0
42,"Unterstammheim",899,6,26,17,0,13,1,0,0
43,"Volken",341,5,18,4,0,1,0,0,0
44,"Waltalingen",657,2,10,2,1,1,1,5,0
51,"Bachenbülach",4087,174,198,89,6,86,21,59,58
52,"Bassersdorf",11616,487,525,146,20,240,76,147,115
53,"Bülach",19611,886,1120,242,34,497,160,282,308
54,"Dietlikon",7568,300,306,201,46,135,57,87,52
55,"Eglisau",5167,137,438,68,20,107,11,17,18
56,"Embrach",9189,286,518,172,21,185,76,133,171
57,"Freienstein-Teufen",2342,53,110,40,1,8,8,6,3
58,"Glattfelden",5069,183,368,117,7,88,38,38,62
59,"Hochfelden",1962,30,84,15,5,20,5,4,0
60,"Höri",2706,217,93,122,1,88,25,92,37
61,"Hüntwangen",1025,10,54,0,0,0,4,4,0
62,"Kloten",19086,768,1052,442,71,398,219,420,248
63,"Lufingen",2210,58,115,34,2,16,13,2,10
64,"Nürensdorf",5600,171,221,26,14,39,18,17,37
65,"Oberembrach",1069,14,44,7,4,7,3,1,1
66,"Opfikon",19599,992,1303,670,87,639,366,556,461
67,"Rafz",4400,86,367,41,11,46,23,14,14
68,"Rorbas",2814,107,163,73,14,55,15,26,18
69,"Wallisellen",15934,600,916,529,144,231,151,209,186
70,"Wasterkingen",562,1,29,0,1,3,2,2,0
71,"Wil (ZH)",1372,12,85,1,0,0,5,1,7
72,"Winkel",4391,73,151,58,11,18,7,15,14
81,"Bachs",605,1,28,6,8,0,0,0,3
82,"Boppelsen",1327,6,54,30,5,5,5,0,0
83,"Buchs (ZH)",6359,237,291,233,20,88,36,45,88
84,"Dällikon",4080,154,150,247,6,76,33,47,119
85,"Dänikon",1884,65,75,125,4,28,19,13,38
86,"Dielsdorf",5992,280,362,172,9,120,67,110,44
87,"Hüttikon",920,27,38,25,0,3,3,5,1
88,"Neerach",3128,54,141,10,7,3,5,1,7
89,"Niederglatt",4914,250,201,107,11,124,56,83,32
90,"Niederhasli",9195,510,349,194,10,133,88,82,110
91,"Niederweningen",2930,42,165,14,2,38,20,11,7
92,"Oberglatt",6981,396,348,270,17,261,105,165,68
93,"Oberweningen",1786,40,124,15,5,2,13,9,10
94,"Otelfingen",2837,88,111,121,11,12,16,6,35
95,"Regensberg",472,3,39,8,0,0,3,1,0
96,"Regensdorf",18191,977,944,770,34,535,151,401,325
97,"Rümlang",8026,416,337,281,20,183,95,158,102
98,"Schleinikon",726,11,23,4,1,1,0,4,0
99,"Schöfflisdorf",1394,33,59,12,0,0,7,8,5
100,"Stadel",2227,29,90,31,3,21,7,2,2
101,"Steinmaur",3464,90,212,107,5,47,20,21,7
102,"Weiach",1483,50,109,5,6,23,7,13,3
111,"Bäretswil",5060,69,193,36,6,41,9,20,6
112,"Bubikon",7115,124,232,64,8,13,21,11,21
113,"Dürnten",7530,208,258,103,17,159,23,23,47
114,"Fischenthal",2480,30,108,44,3,11,14,0,4
115,"Gossau (ZH)",9827,230,328,214,10,50,32,32,15
116,"Grüningen",3401,71,141,37,9,4,10,16,3
117,"Hinwil",11095,302,356,219,13,208,35,52,67
118,"Rüti (ZH)",12086,645,399,202,9,302,67,119,157
119,"Seegräben",1443,17,78,10,2,9,12,10,12
120,"Wald (ZH)",9645,456,377,386,6,258,103,68,118
121,"Wetzikon (ZH)",24640,1307,934,809,29,592,155,212,317
131,"Adliswil",18742,942,1299,485,134,173,196,166,142
132,"Hirzel",2185,35,96,7,5,10,7,3,3
133,"Horgen",20291,911,1335,258,134,448,172,177,246
134,"Hütten",900,8,21,0,0,0,4,8,4
135,"Kilchberg (ZH)",8380,223,839,35,97,19,62,28,18
136,"Langnau am Albis",7502,396,355,98,41,119,71,61,27
137,"Oberrieden",5035,128,235,15,27,11,29,16,28
138,"Richterswil",13352,402,793,77,41,102,42,47,75
139,"Rüschlikon",5744,165,430,36,76,18,49,8,18
140,"Schönenberg (ZH)",1849,15,49,3,2,0,7,2,0
141,"Thalwil",17789,768,1171,94,128,158,186,60,141
142,"Wädenswil",21797,739,1199,153,76,242,138,181,186
151,"Erlenbach (ZH)",5517,113,392,37,31,5,66,5,14
152,"Herrliberg",6300,69,477,30,40,4,31,3,3
153,"Hombrechtikon",8620,255,377,381,18,92,40,45,20
154,"Küsnacht (ZH)",14192,267,1057,145,152,32,156,25,16
155,"Männedorf",10830,228,702,89,24,45,80,39,14
156,"Meilen",13762,291,956,131,80,59,97,55,29
157,"Oetwil am See",4743,168,294,190,10,58,21,83,15
158,"Stäfa",14291,375,790,105,35,57,70,53,23
159,"Uetikon am See",6076,111,384,70,15,18,39,26,4
160,"Zumikon",5158,149,268,51,52,5,50,6,13
161,"Zollikon",12791,242,1012,140,152,10,102,19,43
172,"Fehraltorf",6361,193,243,147,9,67,40,14,53
173,"Hittnau",3604,42,107,10,2,1,23,5,2
176,"Lindau",5489,252,258,29,3,100,23,74,32
177,"Pfäffikon",11774,472,498,57,28,126,50,84,98
178,"Russikon",4361,68,188,31,1,28,11,12,19
180,"Weisslingen",3278,39,106,13,6,8,9,7,9
181,"Wila",1947,28,99,27,0,14,4,10,1
182,"Wildberg",985,10,38,0,3,1,0,0,2
191,"Dübendorf",27689,1254,1622,986,715,556,389,336,287
192,"Egg",8405,191,439,137,33,34,46,18,28
193,"Fällanden",8417,169,586,103,104,75,45,31,35
194,"Greifensee",5381,107,302,23,17,61,43,45,12
